Method,Recall@K,MRR,PairSavings%,CETimeSavings%
Vector-only,0.9396825396825397,0.75,0.0,0.0
Vector+CrossEncoder,0.9396825396825397,0.703,0.0,0.0
KG+CrossEncoder(static-K),0.9238095238095239,0.702,0.0,0.0
KG+CrossEncoder+StagedConfidence,0.9333333333333333,0.701,58.7,56.3
