artifact_name,path,sha256_before,sha256_after,size_bytes,identical
ksens_per_query_k10_kg_crossencoder_stagedconfidence,results/ast_k_sensitivity_v1/per_query_results/k_10/kg_crossencoder_stagedconfidence.json,fc229b0be04c1f31a38ff8373e62765506b55ea030eab1d9f9162d169e0cfce4,fc229b0be04c1f31a38ff8373e62765506b55ea030eab1d9f9162d169e0cfce4,355069,TRUE
ksens_per_query_k15_vector_only,results/ast_k_sensitivity_v1/per_query_results/k_15/vector_only.json,f0b56f2b4b3b0447e427f3aaa8b6507bf39a8766c1b79caec9c614f57c9823eb,f0b56f2b4b3b0447e427f3aaa8b6507bf39a8766c1b79caec9c614f57c9823eb,350130,TRUE
ksens_per_query_k15_vector_crossencoder,results/ast_k_sensitivity_v1/per_query_results/k_15/vector_crossencoder.json,097fcb424a1e7ac3f1f202e43e770fb293a2ccfadf3386a96060f70f346889d4,097fcb424a1e7ac3f1f202e43e770fb293a2ccfadf3386a96060f70f346889d4,352720,TRUE
ksens_per_query_k15_kg_crossencoder_static_k,results/ast_k_sensitivity_v1/per_query_results/k_15/kg_crossencoder_static_k.json,a5e81d225afb598c8e94c6cbab5cf31671e56c40f3e0fcf9abc00c1a6005d7d7,a5e81d225afb598c8e94c6cbab5cf31671e56c40f3e0fcf9abc00c1a6005d7d7,353006,TRUE
ksens_per_query_k15_kg_crossencoder_stagedconfidence,results/ast_k_sensitivity_v1/per_query_results/k_15/kg_crossencoder_stagedconfidence.json,2071c33b8201d7814c52bb41f853bf56b0e671a117e11639a7af46387575b10b,2071c33b8201d7814c52bb41f853bf56b0e671a117e11639a7af46387575b10b,355028,TRUE
ksens_per_query_k20_vector_only,results/ast_k_sensitivity_v1/per_query_results/k_20/vector_only.json,c4410d3e7cced62956e3c42e4060f32969f84224be6c6f827f46df996c7e77cf,c4410d3e7cced62956e3c42e4060f32969f84224be6c6f827f46df996c7e77cf,350237,TRUE
ksens_per_query_k20_vector_crossencoder,results/ast_k_sensitivity_v1/per_query_results/k_20/vector_crossencoder.json,42dd1f05dc125571b119de3552c15f99b3ee717e6321a1e69d0063c25c58ae42,42dd1f05dc125571b119de3552c15f99b3ee717e6321a1e69d0063c25c58ae42,352859,TRUE
ksens_per_query_k20_kg_crossencoder_static_k,results/ast_k_sensitivity_v1/per_query_results/k_20/kg_crossencoder_static_k.json,cdb5fa32b021a014422b16df5ab836c5e009df4687c69b2a14ec3e0e3cea3e51,cdb5fa32b021a014422b16df5ab836c5e009df4687c69b2a14ec3e0e3cea3e51,353054,TRUE
ksens_per_query_k20_kg_crossencoder_stagedconfidence,results/ast_k_sensitivity_v1/per_query_results/k_20/kg_crossencoder_stagedconfidence.json,832a0ee682fde614a3ff15508dbc8ebcb6270955fe23d2a87f1e6b6ec7bd1327,832a0ee682fde614a3ff15508dbc8ebcb6270955fe23d2a87f1e6b6ec7bd1327,355039,TRUE
frozen_corpus_snapshot,artifacts/hipporag/frozen_corpus_1600.jsonl,950cf89775df0f4d2a6b5940c0d1246bd1655315481dd4322b12825885351889,950cf89775df0f4d2a6b5940c0d1246bd1655315481dd4322b12825885351889,1980080,TRUE
frozen_doc_id_mapping,artifacts/hipporag/doc_id_mapping.csv,0a1b3ff120dbcd4eeecaf67886c53b96a7ba95479abfa50b1d84f39744f057eb,0a1b3ff120dbcd4eeecaf67886c53b96a7ba95479abfa50b1d84f39744f057eb,724158,TRUE
hipporag_corpus_json,artifacts/hipporag/corpus.json,f6433eb8c64e9e389c25363487481978bb1a92968f3bd3ccd9edc907e176f21e,f6433eb8c64e9e389c25363487481978bb1a92968f3bd3ccd9edc907e176f21e,654221,TRUE
hipporag_queries_json,artifacts/hipporag/queries.json,eac04364f27778d22ff9fcb082330e15328beff63c391415f0bd75ed15079fc3,eac04364f27778d22ff9fcb082330e15328beff63c391415f0bd75ed15079fc3,145150,TRUE
retriever_only_per_query_jsonl,artifacts/hipporag/retriever_only_per_query.jsonl,bfa5fd93002425ac30518b7a5da31fe95e6a46fe50ffb32ffe0289dd8948b3a3,bfa5fd93002425ac30518b7a5da31fe95e6a46fe50ffb32ffe0289dd8948b3a3,1128773,TRUE
retriever_only_per_query_csv,artifacts/hipporag/retriever_only_per_query.csv,92f148c8aa91156efbe17fbdd2094b71b1a598515d0511cfed785f4d6462e9e9,92f148c8aa91156efbe17fbdd2094b71b1a598515d0511cfed785f4d6462e9e9,61262,TRUE
retriever_only_timing,artifacts/hipporag/retriever_only_timing.json,57a9073e88fd77072ef62b3604e8d40516068e33209fdef2df556760ecd22d00,57a9073e88fd77072ef62b3604e8d40516068e33209fdef2df556760ecd22d00,137,TRUE
store_verification,artifacts/hipporag/store_verification.json,122ff4a8ec0b4a968e554f81dbb632b89266610ff2e0e07a8d3e39dbd7b78f39,122ff4a8ec0b4a968e554f81dbb632b89266610ff2e0e07a8d3e39dbd7b78f39,2230,TRUE
