query_id,canonical_target,gold_file,gold_line,gold_rank,hit@5,hit@10,hit@15,hit@20,rr@5,rr@10,rr@15,rr@20
KAFKA-19586-Q2,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:1698,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1698,1,True,True,True,True,1.0,1.0,1.0,1.0
KAFKA-19586-Q3,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java:1698,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,1698,1,True,True,True,True,1.0,1.0,1.0,1.0
KAFKA-9877-RM-Q1,core/src/main/scala/kafka/server/ReplicaManager.scala:2172,core/src/main/scala/kafka/server/ReplicaManager.scala,2172,1,True,True,True,True,1.0,1.0,1.0,1.0
KAFKA-9877-RM-Q2,core/src/main/scala/kafka/server/ReplicaManager.scala:2172,core/src/main/scala/kafka/server/ReplicaManager.scala,2172,2,True,True,True,True,0.5,0.5,0.5,0.5
KAFKA-9877-RM-Q3,core/src/main/scala/kafka/server/ReplicaManager.scala:2172,core/src/main/scala/kafka/server/ReplicaManager.scala,2172,2,True,True,True,True,0.5,0.5,0.5,0.5
KAFKA-9877-AF-Q2,core/src/main/scala/kafka/server/AbstractFetcherManager.scala:203,core/src/main/scala/kafka/server/AbstractFetcherManager.scala,203,1,True,True,True,True,1.0,1.0,1.0,1.0
KAFKA-9877-LM-Q1,core/src/main/scala/kafka/log/LogManager.scala:228,core/src/main/scala/kafka/log/LogManager.scala,228,1,True,True,True,True,1.0,1.0,1.0,1.0
KAFKA-9877-LM-Q2,core/src/main/scala/kafka/log/LogManager.scala:228,core/src/main/scala/kafka/log/LogManager.scala,228,1,True,True,True,True,1.0,1.0,1.0,1.0
KAFKA-9357-Q1,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java:618,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,618,64,False,False,False,False,0.0,0.0,0.0,0.0
KAFKA-9357-Q2,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java:618,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,618,2,True,True,True,True,0.5,0.5,0.5,0.5
KAFKA-9357-Q3,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java:618,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,618,16,False,False,False,True,0.0,0.0,0.0,0.0625
KAFKA-8046-Q1,core/src/main/scala/kafka/log/LogManager.scala:228,core/src/main/scala/kafka/log/LogManager.scala,228,1,True,True,True,True,1.0,1.0,1.0,1.0
KAFKA-8046-Q2,core/src/main/scala/kafka/log/LogManager.scala:228,core/src/main/scala/kafka/log/LogManager.scala,228,1,True,True,True,True,1.0,1.0,1.0,1.0
KAFKA-13960-Q1,core/src/main/scala/kafka/log/LogManager.scala:228,core/src/main/scala/kafka/log/LogManager.scala,228,1,True,True,True,True,1.0,1.0,1.0,1.0
KAFKA-13960-Q2,core/src/main/scala/kafka/log/LogManager.scala:228,core/src/main/scala/kafka/log/LogManager.scala,228,1,True,True,True,True,1.0,1.0,1.0,1.0
KAFKA-9016-Q3,core/src/main/scala/kafka/server/ReplicaManager.scala:2172,core/src/main/scala/kafka/server/ReplicaManager.scala,2172,1,True,True,True,True,1.0,1.0,1.0,1.0
KAFKA-13317-Q1,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java:618,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,618,130,False,False,False,False,0.0,0.0,0.0,0.0
KAFKA-13317-Q2,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java:618,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,618,482,False,False,False,False,0.0,0.0,0.0,0.0
KAFKA-13317-Q3,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java:618,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,618,115,False,False,False,False,0.0,0.0,0.0,0.0
KAFKA-7802-Q2,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java:618,clients/src/main/java/org/apache/kafka/clients/FetchSessionHandler.java,618,184,False,False,False,False,0.0,0.0,0.0,0.0
