method,query_count,hits_at_20,query_recall_at_20,query_mrr_at_20,unique_target_count,target_balanced_recall_at_20,target_balanced_mrr_at_20
Vector-only,315,301,0.9555555555555556,0.7511943140374513,103,0.9546925566343042,0.7575899437407146
Vector+CrossEncoder,315,301,0.9555555555555556,0.6974876669679855,103,0.9546925566343042,0.7030149988790164
AST-KG+CrossEncoder(static-K),315,298,0.946031746031746,0.7045628855012609,103,0.9542302357836339,0.7105576340870459
AST-KG+CrossEncoder+StagedConfidence,315,301,0.9555555555555556,0.6971882281723061,103,0.9546925566343042,0.7027097457377899
