comparison,method_a,method_b,n10_a_only,n01_b_only,both_hit,both_miss,exact_mcnemar_two_sided_p,recall_diff,recall_ci_lo,recall_ci_hi,mrr_diff,mrr_ci_lo,mrr_ci_hi
HippoRAG doc_ensemble=true - HippoRAG doc_ensemble=false,HippoRAG doc_ensemble=false,HippoRAG doc_ensemble=true,0,107,97,111,1.232595164407831e-32,0.3396825396825397,0.27706638902498776,0.40384615384615385,0.10915076072823382,0.08896942062446264,0.13137749942080149
HippoRAG doc_ensemble=true - ColBERTv2-only,ColBERTv2-only,HippoRAG doc_ensemble=true,56,7,197,55,1.363671398024735e-10,-0.15555555555555556,-0.2120253164556962,-0.10191082802547771,-0.33298509233162044,-0.39557572221298387,-0.2683628774268379
HippoRAG doc_ensemble=true - Vector-only,Vector-only,HippoRAG doc_ensemble=true,98,1,203,13,3.155443620884047e-28,-0.30793650793650795,-0.3703762868299609,-0.24600638977635783,-0.5321819681811573,-0.5905596149054544,-0.47392315343296093
HippoRAG doc_ensemble=true - AST-KG static,AST-KG static,HippoRAG doc_ensemble=true,94,0,204,17,1.0097419586828951e-28,-0.2984126984126984,-0.3605080155549383,-0.2375,-0.4855505396449669,-0.5431594981885353,-0.4264315351224821
HippoRAG doc_ensemble=true - AST-KG staged,AST-KG staged,HippoRAG doc_ensemble=true,98,1,203,13,3.155443620884047e-28,-0.30793650793650795,-0.3709677419354839,-0.24600509734586476,-0.4781758823160121,-0.5352531154175304,-0.41960927801042636
