method,k,queries,hits,recall,mrr
HippoRAG doc_ensemble=true,5,315,130,0.4126984126984127,0.19449735449735467
HippoRAG doc_ensemble=true,10,315,168,0.5333333333333333,0.2111262282690856
HippoRAG doc_ensemble=true,15,315,188,0.5968253968253968,0.21619253762110927
HippoRAG doc_ensemble=true,20,315,204,0.6476190476190476,0.21901234585629423
