method,queries,hits,recall,mrr,tb_recall,tb_mrr
ColBERTv2-only,315,253,0.8031746031746032,0.5519974381879144,0.8085991678224689,0.5560121827112118
HippoRAG doc_ensemble=false,315,97,0.30793650793650795,0.10986158512806013,0.3136846971798428,0.11224432331055614
HippoRAG doc_ensemble=true,315,204,0.6476190476190476,0.21901234585629395,0.6581137309292648,0.22288623410425987
Vector-only,315,301,0.9555555555555556,0.7511943140374513,0.9546925566343042,0.7575899437407146
Vector + Cross-Encoder,315,301,0.9555555555555556,0.6974876669679855,0.9546925566343042,0.7030149988790164
AST-KG static,315,298,0.946031746031746,0.7045628855012609,0.9542302357836339,0.7105576340870459
AST-KG staged,315,301,0.9555555555555556,0.6971882281723061,0.9546925566343042,0.7027097457377899
